income,hours.per.week,age,education,occupation,workclass,native.country
0,18,82,9,5,1,0
0,40,54,4,8,1,0
0,40,41,10,6,1,0
0,45,34,9,3,1,0
0,40,38,6,9,1,0
1,20,74,16,6,6,0
0,40,68,9,6,4,0
1,35,45,16,6,1,0
1,45,38,15,6,2,0
1,20,52,13,3,1,0
1,55,32,14,5,1,0
1,40,46,15,6,1,0
1,76,45,7,11,1,0
1,50,57,14,5,1,0
1,50,34,13,4,1,0
1,40,37,13,5,1,0
0,42,29,7,4,1,0
0,25,61,9,4,1,0
0,40,51,10,11,1,0
0,40,21,12,2,1,0
0,32,33,2,2,1,1
0,40,49,3,3,1,1
1,50,37,6,11,3,0
1,90,38,6,6,1,0
1,40,23,10,3,1,0
1,50,59,6,5,3,0
1,60,52,15,5,1,0
1,50,51,13,5,1,0
1,50,60,9,5,2,0
1,60,63,16,5,4,0
1,48,53,9,4,1,0
1,50,51,15,6,1,0
1,60,37,16,6,2,0
1,40,54,14,6,1,0
1,50,44,13,5,1,0
1,40,43,14,5,1,0
1,40,51,10,9,1,0
1,40,43,14,6,1,0
1,70,48,13,4,1,0
0,52,71,9,4,1,0
0,40,73,9,10,2,1
1,45,40,15,6,2,0
1,72,50,9,4,1,0
1,39,51,12,1,6,0
1,40,42,10,5,1,0
1,45,39,14,4,1,0
1,50,32,13,5,1,0
1,45,53,10,2,1,0
1,40,40,10,13,5,0
1,45,38,13,4,1,0
1,42,33,12,2,1,0
1,70,43,11,2,1,0
1,40,50,7,5,3,0
1,6,44,10,9,1,0
1,40,51,13,4,2,1
1,40,41,15,6,1,0
1,60,37,14,5,1,0
1,35,55,15,6,3,1
1,60,39,13,4,3,0
1,60,42,15,6,3,0
1,55,49,13,4,1,0
1,50,47,9,5,2,0
1,45,41,15,6,5,0
1,50,55,13,5,3,0
1,65,39,14,5,1,0
1,60,42,13,5,1,0
1,65,46,14,4,1,0
1,45,40,14,5,1,0
1,48,32,13,6,1,0
1,55,41,10,5,3,0
1,80,60,15,6,3,0
1,70,31,14,5,1,1
1,40,58,10,10,2,0
1,50,37,13,4,3,0
1,50,44,13,5,2,0
1,50,55,13,5,3,0
1,55,44,14,6,3,0
1,67,39,15,6,1,1
1,40,46,13,4,2,0
1,99,39,10,10,1,0
1,60,62,13,10,3,0
1,40,31,9,3,2,0
1,35,46,13,9,1,1
1,80,46,15,6,2,0
1,40,39,12,2,3,0
1,99,39,15,4,1,0
1,45,59,16,6,1,0
1,60,50,15,6,3,0
1,55,46,16,6,1,0
1,40,53,13,5,2,0
1,30,50,15,6,2,0
1,55,41,15,5,3,0
1,45,36,13,4,1,0
1,90,38,15,6,1,0
1,50,54,10,4,1,0
1,20,50,13,5,1,0
1,60,47,13,5,1,0
1,45,47,15,6,3,0
1,40,67,13,5,1,0
1,75,67,13,5,3,0
1,25,72,16,6,2,0
1,50,46,14,5,3,0
1,40,78,13,5,3,0
1,60,71,13,5,3,0
1,55,83,13,5,3,0
1,40,68,14,5,1,0
0,45,26,12,9,1,0
1,60,68,16,6,6,0
1,40,49,9,9,3,0
0,60,36,9,6,1,0
1,12,70,13,2,2,0
0,20,27,10,9,1,0
0,40,35,10,5,5,0
0,40,23,9,4,1,0
1,26,81,9,5,1,0
1,25,66,16,4,2,0
1,45,71,9,5,1,0
1,55,68,10,4,1,0
0,40,52,9,4,1,0
0,50,40,11,2,3,0
0,48,21,10,5,1,0
0,40,35,9,2,1,0
1,50,70,13,5,3,0
0,50,61,9,10,2,0
0,65,65,9,10,3,0
0,45,46,3,2,1,0
0,55,26,13,6,5,0
0,40,59,9,10,5,0
0,40,61,3,7,1,0
0,40,60,13,6,6,0
0,50,49,10,5,3,0
0,35,25,13,6,1,0
0,40,59,9,13,5,0
0,40,28,10,5,6,0
0,60,56,14,4,2,0
0,40,41,9,2,1,0
0,40,42,9,9,1,1
0,40,28,15,6,1,1
0,35,40,15,3,2,0
1,40,69,13,6,1,0
0,40,66,9,2,5,0
0,40,69,3,8,1,0
0,40,55,14,6,5,0
0,40,57,9,9,4,0
0,10,20,10,10,2,0
0,84,33,9,2,1,0
0,40,30,10,4,2,1
0,48,40,13,1,1,1
1,55,38,10,8,1,0
1,38,46,11,9,6,0
1,45,29,13,5,1,0
0,40,57,13,9,4,0
1,42,39,9,2,1,0
1,40,47,13,5,1,0
1,45,26,13,5,1,0
0,50,27,9,2,2,0
1,40,23,13,6,1,0
0,50,34,14,6,1,0
0,42,33,8,2,1,0
0,60,38,14,6,5,0
1,38,57,10,9,1,0
0,70,36,9,5,1,0
1,40,44,13,1,4,0
1,50,49,16,5,6,0
0,60,44,10,4,3,0
1,62,55,10,10,1,0
1,44,45,9,10,1,0
1,40,48,9,5,1,0
1,45,31,13,5,1,0
1,40,55,9,6,5,0
1,40,70,10,5,2,0
1,8,70,14,5,2,0
1,40,73,13,6,1,0
1,28,72,15,6,2,0
0,40,31,9,8,1,0
0,35,28,6,9,1,0
1,40,23,13,9,2,0
1,40,49,5,7,5,0
1,40,27,10,13,5,0
0,40,90,9,3,1,0
0,30,68,9,9,1,0
0,59,65,9,9,1,1
0,5,67,13,5,1,0
0,25,66,13,6,5,0
0,24,24,10,9,1,0
0,35,44,10,8,2,0
0,40,35,10,9,1,0
0,18,20,11,3,1,0
0,40,38,9,2,1,0
0,40,39,10,3,1,0
0,40,32,10,8,1,1
0,40,42,4,7,1,0
1,60,42,14,5,3,1
0,40,64,7,2,1,0
0,40,28,4,7,1,1
0,84,41,12,4,3,1
0,40,41,4,2,2,0
0,18,58,2,11,2,0
0,40,59,10,5,6,0
0,12,34,9,10,2,0
0,45,45,9,11,1,0
0,40,29,9,9,1,0
0,52,47,6,4,1,0
0,40,40,10,8,1,0
0,50,47,3,4,2,1
0,40,41,9,7,2,0
0,40,34,10,11,1,0
1,10,65,10,5,2,0
1,40,70,9,7,1,0
1,50,75,15,6,2,0
1,40,65,9,9,6,0
1,40,65,10,5,4,0
1,50,73,10,6,1,0
0,40,68,12,6,2,0
0,20,74,9,4,2,0
0,55,19,7,2,2,0
0,40,37,9,2,2,0
0,40,45,11,9,4,1
0,60,64,14,6,1,1
0,40,30,9,11,1,0
0,60,51,10,6,2,1
0,40,35,7,2,1,0
0,20,29,9,9,1,0
0,40,34,10,9,1,0
0,60,41,9,2,1,0
0,45,35,10,2,1,0
0,40,26,10,9,1,0
0,50,54,9,11,1,0
0,40,52,9,2,5,0
0,20,50,9,10,2,0
0,40,31,10,9,1,0
0,40,38,9,11,4,0
0,40,30,10,2,1,0
0,40,34,13,6,5,0
0,57,31,10,4,1,0
0,38,52,9,8,1,0
0,40,54,9,2,1,0
0,44,38,9,2,1,0
0,40,39,9,8,1,0
0,40,29,12,1,1,0
0,40,45,9,2,1,0
0,55,34,9,11,1,0
0,40,38,9,2,1,1
0,40,39,6,2,1,0
0,20,61,9,2,1,0
0,40,43,7,11,1,0
0,40,35,10,7,1,0
0,50,46,10,4,1,0
0,40,38,9,7,1,0
0,48,42,9,2,2,0
0,10,34,11,1,1,0
0,40,29,4,10,1,0
0,30,32,7,2,1,0
0,34,60,9,13,1,0
0,40,49,9,2,5,0
0,45,53,9,3,5,0
0,40,56,4,7,1,0
0,40,48,7,11,1,0
0,40,32,13,6,4,1
0,40,42,9,2,2,0
0,42,32,11,6,1,0
0,40,28,11,13,5,1
0,40,26,12,2,1,0
0,50,59,13,5,1,0
0,30,47,13,6,2,0
0,60,41,9,2,1,0
0,40,36,9,2,1,0
0,55,45,13,4,1,0
0,40,30,11,6,1,0
0,40,36,9,11,1,0
0,40,34,9,5,3,0
0,40,53,9,11,1,0
0,45,51,9,4,1,0
0,45,47,16,11,2,0
0,42,30,9,9,1,0
0,40,20,9,3,1,0
0,60,42,14,9,4,0
0,40,31,7,2,1,0
0,40,33,13,7,1,0
0,30,25,11,1,1,0
0,40,20,9,3,1,0
0,40,23,9,9,1,0
0,50,41,10,2,2,0
0,35,54,9,2,2,0
0,50,25,9,2,1,0
0,40,19,10,9,1,0
0,37,24,9,9,1,0
0,65,56,13,11,4,0
0,40,21,10,3,5,0
0,40,34,9,8,1,0
0,40,19,9,9,1,0
0,40,48,9,9,1,0
0,40,34,13,3,1,0
0,40,31,9,10,1,0
0,40,36,9,3,1,0
0,40,27,9,3,1,0
0,40,27,10,2,1,1
0,65,35,13,4,1,0
0,60,31,13,5,2,0
0,40,27,9,2,4,0
0,40,28,11,9,5,0
0,46,42,9,11,1,0
0,45,44,10,5,1,1
0,56,41,13,4,1,0
0,35,28,13,1,1,0
0,40,41,9,9,4,0
0,40,35,6,3,1,0
0,45,58,14,9,1,0
0,48,40,9,8,1,0
0,60,31,12,11,1,0
0,40,30,9,4,1,0
0,40,32,10,1,1,0
0,40,25,10,9,1,0
0,40,34,9,11,1,0
0,40,56,10,5,1,0
0,40,45,9,3,1,0
0,40,50,9,9,1,0
0,40,27,6,4,1,0
1,40,51,10,4,1,0
1,60,40,11,1,1,0
1,65,41,14,5,1,0
1,45,49,14,5,1,0
1,40,37,12,2,1,0
1,45,36,13,5,3,0
1,80,35,15,6,1,0
1,25,29,9,4,3,0
1,40,50,13,6,1,0
1,40,46,13,4,1,0
1,45,44,9,5,2,0
1,40,42,14,5,5,0
1,50,38,15,6,4,0
1,55,45,13,5,1,0
1,60,43,14,5,5,0
1,60,47,15,6,3,0
1,50,58,15,6,3,0
1,40,48,15,1,1,0
1,48,42,13,5,5,0
1,50,55,14,5,1,0
1,40,51,6,4,1,0
1,40,32,14,5,1,0
1,50,45,13,5,5,0
1,44,56,14,2,1,0
1,60,38,14,5,1,0
1,50,45,12,4,1,0
1,40,49,14,6,1,0
1,40,36,9,6,1,0
1,40,49,14,5,1,0
1,40,30,16,6,1,1
1,50,42,15,6,3,0
1,40,55,14,5,1,0
1,45,34,13,5,1,0
1,50,54,16,6,1,0
1,70,42,13,5,2,0
1,40,25,13,6,5,0
1,45,55,9,5,3,0
1,50,58,14,6,6,0
1,60,62,9,11,1,0
1,40,43,15,6,3,0
1,40,57,14,6,5,0
1,60,42,16,6,3,0
1,32,63,13,6,2,1
1,50,47,15,6,2,0
1,50,37,13,5,1,0
1,60,40,13,4,1,0
1,50,43,13,6,1,0
1,70,43,15,6,6,0
1,60,41,15,6,2,0
1,60,32,15,6,1,0
1,40,47,13,4,1,0
1,60,39,10,7,4,0
1,40,53,10,5,1,0
1,45,34,13,5,1,0
1,40,36,13,5,1,0
1,41,47,14,5,5,0
1,45,52,12,5,1,0
1,60,40,15,6,2,0
1,40,42,13,6,3,0
1,40,51,14,13,1,0
1,20,55,14,1,1,0
1,99,38,9,4,1,0
1,50,52,10,5,1,0
1,40,60,9,1,4,0
1,50,55,12,6,1,1
1,50,47,14,5,5,0
1,40,46,14,1,1,0
1,45,35,14,6,1,0
1,50,59,13,5,3,0
1,45,57,14,6,1,0
1,50,46,10,6,1,0
1,40,46,14,5,4,0
1,40,52,9,2,1,0
1,30,45,16,6,1,0
1,40,37,13,1,1,0
1,45,46,14,5,1,0
1,50,44,13,6,1,0
1,50,45,12,5,1,0
1,52,43,9,8,1,0
1,40,54,14,6,5,0
1,40,50,14,6,1,0
1,40,45,13,6,1,0
1,60,36,14,6,1,0
1,50,27,13,5,1,0
1,35,36,13,4,1,0
1,55,53,14,5,1,0
1,35,51,14,6,5,0
1,24,28,13,6,1,0
1,40,47,10,2,2,0
1,60,45,13,5,1,0
1,35,45,14,6,5,0
1,50,39,15,6,2,0
1,40,39,13,5,1,0
1,40,55,14,6,2,0
1,98,62,10,5,1,0
1,50,49,13,4,1,1
1,40,53,14,5,2,0
1,48,31,14,5,1,0
1,60,42,9,5,3,1
1,45,39,13,11,1,1
1,45,60,13,5,2,0
1,40,26,15,6,1,0
1,40,37,14,5,1,0
1,60,45,13,5,6,0
1,45,37,11,4,1,0
1,45,32,13,4,1,0
1,40,39,9,5,3,0
1,43,45,14,5,1,0
1,45,41,13,6,1,0
1,65,36,9,10,2,0
1,60,51,14,6,6,0
1,62,39,10,5,1,0
1,50,56,15,6,2,0
1,40,53,9,9,4,0
1,15,40,12,6,2,0
1,40,57,14,5,1,0
1,35,50,9,2,5,0
1,55,34,15,6,1,0
1,30,35,13,5,1,0
1,15,30,9,6,2,0
1,55,53,14,6,5,0
1,70,31,16,6,6,0
1,60,37,13,5,1,0
1,50,34,13,4,1,0
1,50,36,14,6,1,0
1,50,40,13,5,1,0
1,60,51,10,2,1,0
1,45,33,9,4,1,0
1,20,40,16,6,1,0
1,60,46,14,4,3,0
1,50,54,16,5,1,0
1,24,39,14,6,1,0
1,40,54,10,4,3,0
1,99,31,16,6,1,0
1,50,51,14,5,1,0
1,40,36,14,9,1,1
1,60,41,13,5,3,1
1,50,56,10,5,2,0
1,40,38,13,1,1,0
1,45,47,9,2,1,0
1,45,39,14,6,5,0
1,50,59,13,5,1,0
1,43,54,16,5,1,0
1,35,54,13,5,2,0
1,55,31,13,5,1,0
1,48,59,10,5,3,0
1,50,46,14,6,1,0
1,40,57,16,1,1,1
1,44,36,14,6,1,0
1,40,44,13,8,1,0
1,50,33,15,6,1,0
1,18,54,10,1,1,0
1,60,55,14,5,1,0
1,50,36,14,4,1,0
1,60,49,15,6,5,0
1,50,41,15,6,1,0
1,45,40,16,6,1,1
1,50,43,13,5,1,0
1,20,39,14,6,5,0
1,45,48,15,6,1,0
1,50,43,13,5,1,0
1,45,36,13,6,1,0
0,40,39,14,5,1,0
0,40,21,10,6,1,0
0,40,23,10,4,1,0
0,40,47,9,5,1,0
0,40,30,9,9,1,0
0,40,35,10,8,1,0
0,40,26,10,9,1,0
0,55,26,13,5,1,0
0,40,41,14,6,5,0
0,40,30,10,13,5,0
0,40,28,9,2,1,0
0,40,56,9,4,1,0
0,40,35,9,8,1,0
0,40,34,12,1,1,0
0,35,29,9,2,1,0
0,20,23,11,9,1,0
0,40,24,9,9,4,0
0,40,62,10,9,1,0
0,1,77,10,9,2,0
1,60,47,15,6,1,1
1,60,48,16,6,2,0
1,50,42,15,6,2,0
1,40,31,14,1,1,0
1,40,43,13,5,1,1
1,65,50,16,6,1,0
1,50,36,13,6,1,0
1,40,49,14,6,5,0
1,40,38,9,2,1,0
1,46,48,16,6,6,0
1,40,46,13,6,1,0
1,60,56,9,3,2,0
1,45,37,9,5,1,0
1,40,51,9,8,1,0
1,40,43,14,5,1,0
0,40,46,9,2,5,0
1,60,42,14,5,5,0
1,35,45,10,9,1,0
0,40,23,10,8,1,0
1,40,45,13,4,1,0
0,40,30,9,9,6,0
1,40,49,11,4,1,0
1,40,57,15,2,1,1
1,80,42,13,10,2,0
1,40,43,10,9,5,0
1,40,43,10,5,1,0
1,60,42,15,6,1,0
1,55,53,13,5,1,0
1,48,40,14,6,5,0
1,60,41,13,5,1,0
1,40,49,13,2,1,0
1,50,31,13,6,2,1
1,50,34,14,5,1,0
1,40,40,14,1,4,1
1,38,50,10,9,1,0
1,40,54,9,2,1,0
1,50,49,10,9,1,0
1,60,44,14,5,2,0
1,40,57,13,6,5,0
0,55,28,14,6,5,0
1,40,57,10,4,1,0
1,43,59,13,6,1,0
1,40,38,11,5,1,0
1,60,36,9,10,2,0
1,40,55,10,5,1,0
1,60,34,9,4,2,0
1,50,51,10,4,1,0
1,70,46,9,11,1,1
1,45,33,14,5,1,1
1,35,31,13,6,6,0
1,35,31,13,5,1,0
1,52,59,9,5,2,0
1,40,48,11,4,1,0
1,45,33,13,5,1,0
1,50,46,10,2,1,0
1,40,53,13,5,1,0
1,18,39,14,6,1,0
1,40,44,9,6,2,0
1,50,45,14,5,1,0
1,40,42,13,13,5,0
1,40,24,4,11,2,0
1,40,57,13,4,1,0
1,40,51,13,6,5,0
1,40,50,13,5,1,0
1,50,52,14,5,1,1
1,40,44,10,4,1,0
1,45,47,13,5,3,0
1,45,36,13,4,1,0
1,38,34,10,6,1,0
1,50,49,13,5,1,0
1,45,45,13,4,1,0
1,50,46,13,5,1,0
1,48,53,13,5,3,0
1,50,63,16,5,6,0
1,40,52,13,6,1,0
1,40,44,13,5,1,0
1,40,37,13,4,1,0
1,40,44,16,6,6,0
1,40,53,13,6,1,0
1,40,32,13,1,1,0
1,45,50,16,6,6,0
1,40,42,14,6,4,1
1,40,50,11,2,1,0
1,55,33,13,4,1,0
1,40,50,14,6,5,0
1,32,32,13,6,1,0
1,40,41,9,6,1,0
1,55,54,9,5,1,0
1,50,34,11,4,1,0
1,55,41,13,5,3,0
1,50,39,15,6,3,0
1,40,42,14,6,4,0
1,45,31,13,4,1,0
1,42,45,12,6,1,0
1,42,41,13,1,1,0
1,38,48,14,5,1,0
1,55,32,9,10,3,0
1,40,41,10,8,1,0
1,40,31,13,5,2,0
1,40,30,10,5,3,1
1,40,41,10,5,1,0
1,40,48,14,6,1,0
1,40,60,16,6,6,0
1,65,38,13,5,2,0
0,40,46,3,11,1,0
1,55,28,10,4,1,0
1,60,64,16,5,3,0
1,50,42,14,6,1,0
1,32,43,12,1,1,0
1,35,61,10,4,3,0
1,40,48,16,6,1,1
1,45,46,14,5,5,0
1,50,44,13,5,1,0
1,50,39,10,5,4,0
1,40,46,13,4,2,0
1,50,48,16,6,1,0
1,40,27,7,2,1,0
0,37,22,10,4,4,0
0,40,51,13,5,4,0
1,40,48,10,13,6,0
1,40,52,12,2,1,0
1,40,31,9,2,2,0
1,40,53,13,9,1,0
1,60,51,14,6,1,0
1,52,46,16,6,5,0
1,36,25,10,9,1,0
1,40,46,9,2,1,0
1,30,57,9,4,3,0
1,50,44,13,6,1,0
1,50,42,9,11,1,0
1,40,42,14,9,1,0
1,55,30,13,6,1,0
1,50,54,16,5,6,0
1,45,46,15,6,2,0
1,50,33,13,9,1,0
1,50,38,10,5,1,0
1,45,50,14,2,1,0
1,40,46,7,2,1,0
1,35,41,14,4,2,0
1,65,56,13,6,1,0
1,50,39,13,6,1,0
1,50,46,16,6,2,0
0,40,48,4,11,5,0
1,40,35,16,6,1,1
1,60,56,10,2,1,0
1,60,49,9,5,3,0
1,40,61,15,6,6,0
1,40,43,9,2,1,0
0,50,37,9,2,1,0
1,40,43,13,8,1,0
1,40,41,9,4,1,0
1,40,30,13,9,1,0
1,40,58,10,13,1,0
1,40,40,9,6,1,0
1,40,44,14,5,6,0
1,32,40,13,5,1,0
0,40,58,9,2,1,0
1,40,48,9,2,2,0
0,40,49,9,8,1,0
1,50,50,13,5,1,0
1,55,43,13,4,1,0
1,40,53,9,11,1,0
1,50,42,16,6,1,0
1,40,56,9,4,3,0
1,56,44,13,5,1,0
1,50,29,13,6,1,0
1,40,35,9,4,1,0
1,40,44,9,4,1,0
1,48,34,13,13,4,0
1,55,42,14,6,1,1
1,40,43,13,6,1,0
0,45,57,12,6,1,0
1,60,32,13,5,1,0
1,45,33,13,9,1,0
1,15,43,10,5,2,0
1,50,32,9,4,1,0
1,48,36,9,2,1,0
1,60,50,9,4,2,0
0,45,27,9,11,1,0
1,40,60,15,5,1,0
1,50,53,14,5,1,0
1,40,61,16,6,6,0
1,40,32,13,4,1,0
1,60,52,13,5,3,1
1,55,37,9,5,1,0
1,40,33,9,1,1,0
1,40,57,16,4,2,0
1,99,43,9,2,1,0
1,40,50,9,5,1,0
1,40,43,10,2,1,0
1,40,45,9,3,1,0
1,45,37,9,4,2,0
1,43,31,14,6,1,0
1,50,33,11,2,1,0
1,50,56,9,3,2,1
1,50,43,10,6,1,0
1,47,52,6,2,1,0
1,40,38,13,6,1,0
1,40,57,9,11,1,0
1,50,41,10,2,1,0
1,50,37,9,5,1,0
1,40,42,9,2,1,0
1,35,44,14,6,1,0
1,50,39,13,5,1,0
1,40,53,10,5,4,1
1,65,51,10,5,1,0
1,50,38,13,5,1,0
1,40,43,10,13,5,0
1,60,33,11,5,3,0
1,40,43,13,4,1,0
1,45,35,13,5,1,0
1,50,41,10,5,1,0
1,40,45,10,2,1,0
1,40,59,9,8,1,0
1,45,30,14,6,5,0
1,45,32,13,13,6,0
1,60,39,13,13,4,0
1,70,43,13,6,2,0
1,55,32,13,5,1,0
1,40,39,9,13,5,0
1,40,37,13,6,5,0
1,40,34,10,5,1,0
1,45,46,10,1,1,0
1,40,51,16,6,5,0
1,55,29,9,4,1,0
1,40,34,13,6,1,0
1,35,50,10,2,1,0
1,40,34,10,7,1,0
1,40,58,6,11,1,0
1,67,56,3,5,2,0
1,48,34,13,6,2,0
1,40,36,13,6,5,0
1,40,46,9,8,1,0
1,40,50,9,5,2,0
1,45,27,13,5,3,0
1,40,32,11,2,1,1
1,70,44,9,5,3,0
1,46,39,9,4,1,0
1,20,33,9,9,1,0
1,40,59,9,2,4,0
1,55,59,10,2,1,0
1,40,51,10,4,6,0
1,40,37,12,2,1,0
1,40,57,9,1,1,1
1,40,25,12,6,1,0
1,65,54,9,11,1,0
1,40,47,10,11,5,0
1,70,52,16,6,6,1
1,40,40,13,6,1,0
1,60,27,13,8,1,0
1,40,31,13,5,1,0
