absences,G_avg,Medu,failures,studytime,higher_yes,health
4,7.333333333333333,4.0,0,2,1,3
2,10.333333333333334,1.0,0,2,1,3
6,12.333333333333334,1.0,0,2,1,3
0,14.0,3.0,0,3,1,5
0,12.333333333333334,3.0,0,2,1,5
0,12.666666666666666,2.0,0,2,1,3
2,12.0,4.0,0,2,1,1
2,14.0,4.0,0,2,1,2
0,12.333333333333334,4.0,0,1,1,5
0,14.333333333333334,2.0,0,3,1,3
6,17.0,4.0,0,1,1,2
10,13.333333333333334,4.0,0,3,1,2
2,13.666666666666666,3.0,0,2,1,4
0,11.666666666666666,4.0,0,1,1,5
0,13.0,3.0,0,2,1,5
2,10.0,2.0,0,2,1,5
2,10.333333333333334,3.0,0,3,1,5
6,11.0,2.0,0,1,1,5
8,11.666666666666666,2.0,0,1,1,5
0,11.0,3.0,0,1,1,1
4,11.666666666666666,4.0,0,2,1,5
0,10.666666666666666,4.0,0,2,1,5
2,15.0,4.0,0,2,1,5
0,12.333333333333334,3.0,0,2,1,2
4,13.0,4.0,0,3,1,5
8,13.0,2.0,0,1,1,2
16,10.666666666666666,2.0,0,2,1,3
8,10.666666666666666,4.0,0,1,1,5
0,14.666666666666666,4.0,0,2,1,5
0,9.666666666666666,2.0,0,1,1,1
14,10.666666666666666,2.0,1,2,1,5
6,12.666666666666666,3.0,0,2,1,3
4,12.0,3.0,0,2,1,5
2,12.333333333333334,4.0,0,2,1,3
0,13.333333333333334,2.0,0,2,1,4
0,15.333333333333334,3.0,0,2,1,5
4,9.333333333333334,3.0,0,1,1,5
0,12.333333333333334,4.0,0,1,1,5
0,12.666666666666666,3.0,0,1,1,1
8,15.333333333333334,4.0,0,2,1,5
2,15.666666666666666,3.0,0,2,1,5
0,16.333333333333332,4.0,0,2,1,4
0,12.0,1.0,0,1,1,5
0,11.666666666666666,4.0,0,4,1,3
0,9.666666666666666,2.0,0,4,1,5
0,10.666666666666666,2.0,0,2,1,4
6,15.0,2.0,0,4,1,3
2,11.666666666666666,2.0,0,4,1,5
0,10.0,3.0,0,4,1,3
2,11.666666666666666,1.0,0,2,1,5
0,13.333333333333334,2.0,0,1,1,5
4,11.0,3.0,0,2,1,5
0,11.333333333333334,2.0,0,4,1,1
1,13.0,2.0,0,4,1,3
2,12.666666666666666,2.0,0,2,1,4
2,12.333333333333334,1.0,0,2,1,4
4,11.666666666666666,4.0,0,2,1,5
6,11.666666666666666,2.0,0,2,1,2
4,15.0,3.0,0,3,1,1
6,11.0,2.0,0,2,1,3
6,9.333333333333334,4.0,0,2,1,5
2,10.333333333333334,3.0,0,3,1,4
0,12.333333333333334,2.0,0,2,1,2
2,13.666666666666666,3.0,0,2,1,1
2,11.666666666666666,2.0,0,4,1,4
4,13.0,1.0,0,4,1,1
4,12.666666666666666,4.0,0,1,1,1
12,8.666666666666666,4.0,0,1,1,4
0,16.0,4.0,0,3,1,4
2,12.333333333333334,4.0,0,1,1,5
10,10.0,3.0,0,4,1,4
4,10.0,2.0,0,4,1,3
4,13.666666666666666,3.0,0,3,1,5
8,11.0,4.0,0,4,1,1
2,14.666666666666666,4.0,0,3,1,4
4,13.666666666666666,4.0,0,1,1,4
4,11.0,3.0,0,3,1,2
12,9.333333333333334,2.0,1,2,1,5
10,17.666666666666668,3.0,0,1,1,3
6,14.666666666666666,4.0,0,2,1,5
4,15.666666666666666,4.0,0,2,1,2
6,14.333333333333334,3.0,0,1,1,5
14,11.333333333333334,2.0,1,2,1,5
6,13.333333333333334,2.0,0,4,1,5
2,13.0,3.0,0,2,1,5
4,12.666666666666666,4.0,0,1,1,5
0,11.333333333333334,2.0,0,2,1,5
8,14.333333333333334,4.0,0,1,1,4
6,12.0,1.0,0,1,1,4
2,12.333333333333334,2.0,0,1,1,5
12,11.666666666666666,2.0,1,1,1,5
4,14.0,4.0,0,3,1,5
0,13.333333333333334,1.0,0,2,1,3
2,11.333333333333334,2.0,0,1,1,4
8,11.333333333333334,1.0,0,1,1,1
4,9.333333333333334,3.0,0,1,1,5
0,10.0,1.0,2,2,1,5
6,13.666666666666666,4.0,0,1,1,5
2,8.666666666666666,1.0,1,1,1,1
24,8.666666666666666,3.0,0,2,1,1
0,13.666666666666666,4.0,0,3,1,5
4,11.333333333333334,2.0,0,1,1,2
2,13.0,4.0,0,3,1,5
4,10.666666666666666,1.0,0,1,1,1
0,12.0,1.0,0,2,1,5
16,8.666666666666666,4.0,0,1,0,5
0,6.666666666666667,1.0,2,1,0,4
