age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,native.country,income
82,2,11,6,3,1,4,0,18,0,0
54,2,5,0,6,4,4,0,40,0,0
41,2,15,5,9,3,4,0,40,0,0
34,2,11,0,7,4,4,0,45,0,0
38,2,0,5,0,4,4,1,40,0,0
74,5,10,4,9,2,4,0,20,0,1
68,0,11,0,9,1,4,0,40,0,0
45,2,10,0,9,4,2,0,35,0,1
38,4,14,4,9,1,4,1,45,0,1
52,2,9,6,7,1,4,0,20,0,1
32,2,12,5,3,1,4,1,55,0,1
46,2,14,0,9,1,4,1,40,0,1
45,2,1,0,13,1,4,1,76,0,1
57,2,12,0,3,1,4,1,50,0,1
34,2,9,5,11,1,4,1,50,0,1
37,2,9,4,3,1,4,1,40,0,1
29,2,1,5,11,1,4,0,42,0,0
61,2,11,0,11,4,4,0,25,0,0
51,2,15,2,13,0,4,1,40,0,0
21,2,8,2,2,0,4,1,40,0,0
33,2,3,2,2,1,4,1,32,1,0
49,2,4,2,7,0,4,1,40,1,0
37,3,0,4,13,1,4,1,50,0,1
38,2,0,4,9,1,4,1,90,0,1
23,2,15,5,7,1,4,1,40,0,1
59,3,0,6,3,4,4,0,50,0,1
52,2,14,0,3,1,4,1,60,0,1
51,2,9,0,3,1,4,1,50,0,1
60,4,11,4,3,1,2,1,50,0,1
63,0,10,0,3,1,4,0,60,0,1
53,2,11,4,11,1,4,1,48,0,1
51,2,14,4,9,1,4,0,50,0,1
37,4,10,4,9,1,4,0,60,0,1
54,2,12,0,9,1,4,0,40,0,1
44,2,9,0,3,4,4,1,50,0,1
43,2,12,0,3,4,4,0,40,0,1
51,2,15,0,0,4,4,0,40,0,1
43,2,12,0,9,4,4,0,40,0,1
48,2,9,3,11,4,4,0,70,0,1
71,2,11,2,11,0,4,1,52,0,0
73,4,11,2,4,0,1,1,40,1,0
40,4,14,4,9,1,4,1,45,0,1
50,2,11,6,11,1,4,0,72,0,1
51,5,8,0,12,1,4,1,39,0,1
42,2,15,4,3,1,4,0,40,0,1
39,2,12,4,11,1,4,1,45,0,1
32,2,9,4,3,2,4,1,50,0,1
53,2,15,5,2,1,4,1,45,0,1
40,1,15,4,10,1,4,1,40,0,1
38,2,9,4,11,1,4,0,45,0,1
33,2,8,5,2,1,4,1,42,0,1
43,2,7,0,2,1,4,1,70,0,1
50,3,1,4,3,2,4,1,40,0,1
44,2,15,2,0,5,4,0,6,0,1
51,4,9,2,11,0,1,1,40,1,1
41,2,14,2,9,0,4,1,40,0,1
37,2,12,2,3,0,4,1,60,0,1
55,3,14,2,9,0,4,1,35,1,1
39,3,9,2,11,0,4,1,60,0,1
42,3,14,2,9,0,4,1,60,0,1
49,2,9,2,11,0,4,1,55,0,1
47,4,11,2,3,0,4,1,50,0,1
41,1,14,2,9,0,4,1,45,0,1
55,3,9,2,3,0,4,1,50,0,1
39,2,12,2,3,5,4,0,65,0,1
42,2,9,2,3,0,4,1,60,0,1
