income,hours.per.week,age,education,workclass,occupation,native.country
0,18,82,11,2,3,0
0,40,54,5,2,6,0
0,40,41,15,2,9,0
0,45,34,11,2,7,0
0,40,38,0,2,0,0
1,20,74,10,5,9,0
0,40,68,11,0,9,0
1,35,45,10,2,9,0
1,45,38,14,4,9,0
1,20,52,9,2,7,0
1,55,32,12,2,3,0
1,40,46,14,2,9,0
1,76,45,1,2,13,0
1,50,57,12,2,3,0
1,50,34,9,2,11,0
1,40,37,9,2,3,0
0,42,29,1,2,11,0
0,25,61,11,2,11,0
0,40,51,15,2,13,0
0,40,21,8,2,2,0
0,32,33,3,2,2,1
0,40,49,4,2,7,1
1,50,37,0,3,13,0
1,90,38,0,2,9,0
1,40,23,15,2,7,0
1,50,59,0,3,3,0
1,60,52,14,2,3,0
1,50,51,9,2,3,0
1,50,60,11,4,3,0
1,60,63,10,0,3,0
1,48,53,11,2,11,0
1,50,51,14,2,9,0
1,60,37,10,4,9,0
1,40,54,12,2,9,0
1,50,44,9,2,3,0
1,40,43,12,2,3,0
1,40,51,15,2,0,0
1,40,43,12,2,9,0
1,70,48,9,2,11,0
0,52,71,11,2,11,0
0,40,73,11,4,4,1
1,45,40,14,4,9,0
1,72,50,11,2,11,0
1,39,51,8,5,12,0
1,40,42,15,2,3,0
1,45,39,12,2,11,0
1,50,32,9,2,3,0
1,45,53,15,2,2,0
1,40,40,15,1,10,0
1,45,38,9,2,11,0
1,42,33,8,2,2,0
1,70,43,7,2,2,0
1,40,50,1,3,3,0
1,6,44,15,2,0,0
1,40,51,9,4,11,1
1,40,41,14,2,9,0
1,60,37,12,2,3,0
1,35,55,14,3,9,1
1,60,39,9,3,11,0
1,60,42,14,3,9,0
1,55,49,9,2,11,0
1,50,47,11,4,3,0
1,45,41,14,1,9,0
1,50,55,9,3,3,0
1,65,39,12,2,3,0
1,60,42,9,2,3,0
1,65,46,12,2,11,0
1,45,40,12,2,3,0
1,48,32,9,2,9,0
1,55,41,15,3,3,0
1,80,60,14,3,9,0
1,70,31,12,2,3,1
1,40,58,15,4,4,0
1,50,37,9,3,11,0
1,50,44,9,4,3,0
1,50,55,9,3,3,0
1,55,44,12,3,9,0
1,67,39,14,2,9,1
1,40,46,9,4,11,0
1,99,39,15,2,4,0
1,60,62,9,3,4,0
1,40,31,11,4,7,0
1,35,46,9,2,0,1
1,80,46,14,4,9,0
1,40,39,8,3,2,0
1,99,39,14,2,11,0
1,45,59,10,2,9,0
1,60,50,14,3,9,0
1,55,46,10,2,9,0
1,40,53,9,4,3,0
1,30,50,14,4,9,0
1,55,41,14,3,3,0
1,45,36,9,2,11,0
1,90,38,14,2,9,0
1,50,54,15,2,11,0
1,20,50,9,2,3,0
1,60,47,9,2,3,0
1,45,47,14,3,9,0
1,40,67,9,2,3,0
1,75,67,9,3,3,0
1,25,72,10,4,9,0
1,50,46,12,3,3,0
1,40,78,9,3,3,0
1,60,71,9,3,3,0
1,55,83,9,3,3,0
1,40,68,12,2,3,0
0,45,26,8,2,0,0
1,60,68,10,5,9,0
1,40,49,11,3,0,0
0,60,36,11,2,9,0
1,12,70,9,4,2,0
0,20,27,15,2,0,0
0,40,35,15,1,3,0
0,40,23,11,2,11,0
1,26,81,11,2,3,0
1,25,66,10,4,11,0
1,45,71,11,2,3,0
1,55,68,15,2,11,0
0,40,52,11,2,11,0
0,50,40,7,3,2,0
0,48,21,15,2,3,0
0,40,35,11,2,2,0
1,50,70,9,3,3,0
0,50,61,11,4,4,0
0,65,65,11,3,4,0
0,45,46,4,2,2,0
0,55,26,9,1,9,0
0,40,59,11,1,4,0
0,40,61,4,2,5,0
0,40,60,9,5,9,0
0,50,49,15,3,3,0
0,35,25,9,2,9,0
0,40,59,11,1,10,0
0,40,28,15,5,3,0
0,60,56,12,4,11,0
0,40,41,11,2,2,0
