absences,failures,Medu,health,Pstatus,famrel,schoolsup,G_avg,studytime,internet_yes,higher_yes,famsup_yes,paid_yes
4,0,4.0,3,1,4,1,7.333333333333333,2,0,1,0,0
2,0,1.0,3,2,5,0,10.333333333333334,2,1,1,1,0
6,0,1.0,3,2,4,1,12.333333333333334,2,1,1,0,0
0,0,3.0,5,2,3,0,14.0,3,1,1,1,0
0,0,3.0,5,2,4,0,12.333333333333334,2,0,1,1,0
0,0,2.0,3,2,4,0,12.666666666666666,2,1,1,0,0
2,0,4.0,1,1,4,1,12.0,2,0,1,1,0
2,0,4.0,2,2,3,0,14.0,2,1,1,1,0
0,0,4.0,5,2,4,0,12.333333333333334,1,1,1,1,0
0,0,2.0,3,1,4,0,14.333333333333334,3,1,1,1,0
6,0,4.0,2,2,4,0,17.0,1,1,1,1,0
10,0,4.0,2,2,3,0,13.333333333333334,3,1,1,1,0
2,0,3.0,4,2,5,1,13.666666666666666,2,0,1,1,0
0,0,4.0,5,2,5,0,11.666666666666666,1,1,1,1,1
0,0,3.0,5,2,4,0,13.0,2,1,1,0,0
2,0,2.0,5,2,5,0,10.0,2,1,1,1,0
2,0,3.0,5,2,4,1,10.333333333333334,3,1,1,1,0
6,0,2.0,5,2,1,0,11.0,1,1,1,1,0
8,0,2.0,5,2,4,0,11.666666666666666,1,1,1,1,0
0,0,3.0,1,2,2,0,11.0,1,1,1,0,0
4,0,4.0,5,2,4,0,11.666666666666666,2,1,1,1,1
0,0,4.0,5,2,5,0,10.666666666666666,2,1,1,1,1
2,0,4.0,5,2,4,0,15.0,2,1,1,1,0
0,0,3.0,2,2,5,0,12.333333333333334,2,1,1,0,0
4,0,4.0,5,1,2,0,13.0,3,1,1,1,0
8,0,2.0,2,2,4,1,13.0,1,0,1,1,0
16,0,2.0,3,2,3,0,10.666666666666666,2,1,1,1,0
8,0,4.0,5,2,5,0,10.666666666666666,1,1,1,1,0
0,0,4.0,5,2,4,0,14.666666666666666,2,1,1,1,0
0,0,2.0,1,2,5,1,9.666666666666666,1,1,1,1,0
14,1,2.0,5,2,4,1,10.666666666666666,2,1,1,0,0
6,0,3.0,3,1,2,0,12.666666666666666,2,1,1,1,0
4,0,3.0,5,2,4,0,12.0,2,0,1,1,0
2,0,4.0,3,2,4,1,12.333333333333334,2,1,1,1,0
0,0,2.0,4,2,4,0,13.333333333333334,2,1,1,1,0
0,0,3.0,5,2,4,0,15.333333333333334,2,1,1,1,0
4,0,3.0,5,1,5,0,9.333333333333334,1,0,1,0,0
0,0,4.0,5,2,3,1,12.333333333333334,1,1,1,1,0
0,0,3.0,1,1,5,0,12.666666666666666,1,1,1,0,0
8,0,4.0,5,2,3,0,15.333333333333334,2,0,1,1,0
2,0,3.0,5,2,4,0,15.666666666666666,2,1,1,1,1
0,0,4.0,4,2,2,0,16.333333333333332,2,0,1,1,0
0,0,1.0,5,2,5,1,12.0,1,1,1,1,0
0,0,4.0,3,1,1,0,11.666666666666666,4,1,1,1,0
0,0,2.0,5,2,4,1,9.666666666666666,4,1,1,1,0
0,0,2.0,4,2,4,1,10.666666666666666,2,1,1,1,0
6,0,2.0,3,2,4,0,15.0,4,1,1,1,0
2,0,2.0,5,2,4,0,11.666666666666666,4,1,1,1,0
0,0,3.0,3,2,3,0,10.0,4,1,1,0,0
2,0,1.0,5,2,3,1,11.666666666666666,2,1,1,1,0
0,0,2.0,5,2,5,0,13.333333333333334,1,0,1,0,0
4,0,3.0,5,2,4,1,11.0,2,1,1,1,0
0,0,2.0,1,2,3,0,11.333333333333334,4,1,1,0,0
1,0,2.0,3,2,5,0,13.0,4,1,1,0,0
2,0,2.0,4,2,5,0,12.666666666666666,2,1,1,0,1
2,0,1.0,4,2,4,0,12.333333333333334,2,1,1,1,0
4,0,4.0,5,2,4,0,11.666666666666666,2,1,1,0,0
6,0,2.0,2,2,4,0,11.666666666666666,2,0,1,1,0
4,0,3.0,1,2,5,0,15.0,3,1,1,1,0
6,0,2.0,3,2,4,0,11.0,2,1,1,0,0
6,0,4.0,5,1,4,0,9.333333333333334,2,0,1,1,0
2,0,3.0,4,2,4,0,10.333333333333334,3,1,1,1,0
0,0,2.0,2,2,3,1,12.333333333333334,2,0,1,1,0
2,0,3.0,1,2,5,0,13.666666666666666,2,1,1,1,0
2,0,2.0,4,2,4,0,11.666666666666666,4,1,1,1,0
4,0,1.0,1,2,3,1,13.0,4,1,1,1,1
4,0,4.0,1,2,5,0,12.666666666666666,1,1,1,0,0
12,0,4.0,4,2,4,1,8.666666666666666,1,1,1,1,0
0,0,4.0,4,2,4,0,16.0,3,1,1,1,0
2,0,4.0,5,2,5,0,12.333333333333334,1,1,1,1,1
10,0,3.0,4,1,4,1,10.0,4,0,1,0,0
4,0,2.0,3,2,5,1,10.0,4,1,1,1,0
4,0,3.0,5,2,5,0,13.666666666666666,3,1,1,1,0
8,0,4.0,1,2,1,0,11.0,4,1,1,1,0
2,0,4.0,4,2,5,0,14.666666666666666,3,1,1,1,0
4,0,4.0,4,1,5,0,13.666666666666666,1,1,1,0,0
4,0,3.0,2,2,4,1,11.0,3,1,1,1,0
12,1,2.0,5,2,3,1,9.333333333333334,2,1,1,0,0
10,0,3.0,3,2,3,0,17.666666666666668,1,1,1,0,0
